Signals	Package
ChkIn	gformula
EXPmixtureLEandUC_loglik	stcrmix
Fhat	m_stats
GGmixtureLEandUC_loglik	stcrmix
LNmixtureLEandUC_loglik	stcrmix
Mst_iter	m_stats
Smat	m_stats
WEmixtureLEandUC_loglik	stcrmix
__geoplot_layer	geoplot
_adjksm	adjksm
_api_read	wbopendata
_api_read_indicators	wbopendata
_binom	williams
_bsqregtrace	grqreg
_cauchyden	regmain
_cauchyevaluator	regmain
_cauchyreg	regmain
_char2dlg	ckvar
_ck4like	ckvar
_ckneeded	ckvar
_ckvarnext	ckvar
_compile_mata	malmq2
_countrymetadata	wbopendata
_cu_c0	cusum6
_cureregr8	cureregr8
_cureregr8_gen	cureregr8
_ddml_allcombos	ddml
_ddml_copy	ddml
_ddml_crossfit	ddml
_ddml_describe	ddml
_ddml_drop	ddml
_ddml_estimate_ate_late	ddml
_ddml_estimate_linear	ddml
_ddml_export	ddml
_ddml_extract	ddml
_ddml_nnls	ddml
_ddml_nnls_p	ddml
_ddml_overlap	ddml
_ddml_sample	ddml
_ddml_save	ddml
_ddml_use	ddml
_desspss	usespss
_diff	m_stats
_digdis	digdis
_ebin	alorenz
_egb2den	regmain
_egb2evaluator	regmain
_egb2reg	regmain
_eststo	estout
_eventgenvars	xtevent
_eventiv	xtevent
_eventivstatic	xtevent
_eventols	xtevent
_eventolsstatic	xtevent
_ex_adecomp	adecomp
_ex_drdecomp	drdecomp
_ex_skdecomp	skdecomp
_expevaluator	regmain
_expreg	regmain
_freduse	freduse
_freduse2	freduse
_fredweb	freduse
_ftruncreg_p	simarwilson
_het_did_gmm	drdid
_init_options	sls
_ipwlogit_svy	ipwlogit
_isograph	isograph
_ivcrc_estimator	ivcrc
_jprcout	contrast
_kdens	kdens
_laplaceden	regmain
_laplaceevaluator	regmain
_laplacereg	regmain
_lcauchyevaluator	regmain
_lcauchyreg	regmain
_ldecomp	ldecomp
_lnevaluator	regmain
_lnmor_svyb	lnmor
_lnmor_svyr	lnmor
_lnreg	regmain
_ltevaluator	regmain
_ltreg	regmain
_matau2	meta_analysis
_matchval	alorenz
_mi_ESTIMATE	mitools
_mi_RUBIN	mitools
_mi_unique	mitools
_mici_bin	mitools
_mpitb_assoc	mpitb
_mpitb_ctyselect	mpitb
_mpitb_est	mpitb
_mpitb_estcot	mpitb
_mpitb_gafvars	mpitb
_mpitb_refsh	mpitb
_mpitb_rframe	mpitb
_mpitb_set	mpitb
_mpitb_setwgts	mpitb
_mpitb_show	mpitb
_mpitb_stores	mpitb
_mrsvmat	mrtab
_mvis	mice
_nargs	subsim_2
_normalevaluator	regmain
_normalreg	regmain
_oaxaca9	oaxaca9
_olsci	grqreg
_parameters	wbopendata
_parmest	mitools
_pcmdif	pcmdif
_pecats	crtest
_pecats2	hoi
_pecatsal	alorenz
_prefix_display	twopm
_pyparse	pystacked
_qregsel	qregsel
_qregtrace	grqreg
_query	wbopendata
_query_indicators	wbopendata
_query_metadata	wbopendata
_regsen_breakfront_plot	regsensitivity
_regsen_display	regsensitivity
_regsen_idset_plot	regsensitivity
_regsen_write_scalar_table	regsensitivity
_regsen_write_table_header	regsensitivity
_regsen_write_tuples	regsensitivity
_robksm	adjksm
_scauchyden	regmain
_scauchyevaluator	regmain
_scauchyreg	regmain
_segb2den	regmain
_segb2evaluator	regmain
_segb2reg	regmain
_set2logic	ckvar
_sgedden	regmain
_sgedevaluator	regmain
_sgedreg	regmain
_sgtden	regmain
_sgtevaluator	regmain
_sgtreg	regmain
_slaplaceden	regmain
_slaplaceevaluator	regmain
_slaplacereg	regmain
_snormalden	regmain
_snormalevaluator	regmain
_snormalreg	regmain
_spreg_gs2sls	sppack
_spreg_ml	sppack
_sqregtrace	grqreg
_sspecialreg	sspecialreg
_stata2logic	ckvar
_staticfc	staticfc
_stddiff	stddiff
_stden	regmain
_stevaluator	regmain
_streg	regmain
_subsim_inst	subsim
_subsim_menu	subsim_2
_subsim_vers	subsim
_svm_model2stata	svmachines
_svm_train	svmachines
_svy_tpm_display	tpm
_svy_twopm_display	twopm
_sw_lik	switchr
_sw_lik2	switchr
_tden	regmain
_tesen_cpi	tesensitivity
_tesen_cscale	tesensitivity
_tesen_display	tesensitivity
_tesen_estat	tesensitivity
_tesen_plot	tesensitivity
_tevaluator	regmain
_tknz	wbopendata
_treg	regmain
_ttest	sdtest
_update_countrymetadata	wbopendata
_update_indicators	wbopendata
_update_wbopendata	wbopendata
_usespss	usespss
_wbod_tmpfile1	wbopendata
_wbod_tmpfile2	wbopendata
_wbod_tmpfile3	wbopendata
_website	wbopendata
_welcom_inst	welcom
_welcom_vers	welcom
_xthck	xtheckmanfe
_xthckiv	xtheckmanfe
_xtspecialreg	sspecialreg
a2group	a2reg
a2reg	a2reg
aaniv	aaniv
aaplot	aaplot
abar	abar
abg	abg
absdid	absdid
ac2	panelauto
acelong	acelong
acplot	acplot
acprplots	cprplots
acreg	acreg
acregpackcheck	acreg
actest	actest
actest9	actest
addSMenu	subsim_2
addbefore	addbefore
addinby	addinby
addnotes	addnotes
addplot	addplot
addshare	readshare
addtex	addtex
addtxt	addtxt
adecomp	adecomp
adelong	acelong
adfmaxur	adfmaxur
adftest	adftest
adjacent	adjacent
adjksm	adjksm
adjl	egenmore
adjmean	adjmean
adjprop	adjprop
adjtest	mmsel
adju	egenmore
adjust	adjust
adjustrcspline	postrcspline
adjustrcspline_ex	postrcspline
admetan	admetan
admetan_hlp_run	admetan
admetani	admetan
adodev	adodev
adoedit	adoedit
adofac	adodev
adoind	adodev
adoins	adodev
adoinstall	adoinstall
adolist	adolist
adorestore	adostore
adostore	adostore
adotype	adotype
aedot	aedot
aedots	aedot
aedots2	aedot
aefdr	aefdr
aei	rpaxioms
aelong	acelong
aevolcano	aevolcano
aevolcs	aevolcano
aextlogit	aextlogit
affiliationexposure	affiliationexposure
aggind	aggind
aggreg	itsp_ado
aggreg2	itsp_ado
aggrvar	subsim_1
agrm	agrm
aic_model_selection	aic_model_selection
ainequal	ainequal
airnet	airnet
ais_tmpm	icdpic
ajv	jnsn
akdensity	akdensity
akdensity0	akdensity
albatross	albatross
albatross_examples	albatross
alignedpairs	alignedpairs
alignedranks	alignedranks
alignedsets	alignedsets
alignmicro	alignmicro
allcross	allcross
allpossible	allpossible
allsubsets	allsubsets
allsynth	allsynth
alluvial	alluvial
almon	almon
almon1	almon1
alogit	alogit
alogit_p	alogit
alogit_p_fast	alogit
alogit_sim	alogit
alorenz	alorenz
alphawgt	alphawgt
alphlist	listutil
alsmle	alsmle
altcharl	icdpic
altfrdbwselect	rdmse
altrdbwselect	rdmse
altrdvce	rdmse
ameta	ameta
ammaevaluator	regmain
ammareg	regmain
anaoption	loevh
ancestor	dag
anketest	anketest
anogi	anogi
anovaplot	modeldiag
anovaplot7	modeldiag
anymatch	anymatch
anythingtodate	anythingtodate
aov1cont	contrast
apc_cglim	apc
apc_ie	apc
apcd	apcd
apcgo	apcgo
apch	apch
apctlag	apcgo
apctlagb	apcgo
apoverty	apoverty
appendfile	appendfile
appendgz	gziputil
apport	_gapport
approx	python
aprlb	persuasio
aprub	persuasio
aps	icdpic
archlm	archlm
archlm2	panelauto
archqq	archqq
arcplot	arcplot
ardl	ardl
ardl_estat	ardl
ardl_p	ardl
ardlbounds	ardl
arhomme	arhomme
ari	sadi
arimaauto	arimaauto
arimafit	arimafit
arimasel	arimasel
arjas_example	starjas
armadiag	armadiag
armaroots	armaroots
arrowplot	arrowplot
art2bin	art
artbin	artbin
artest	boottest
artformatnos	art
artmenu	art
artpep	art
artsurv	art
ascii	ascii
ascii2unicode	unicode2ascii
asciiplot	asciiplot
ascol	ascol
ascot	icdpic
ascvd	ascvd
ascvdi	ascvd
asdbsave	subsim_1
asdoc	asdoc
asgen	asgen
ashell	ashell
asinhasinh	cdfquantreg
asinhasinhinnerv2	cdfquantreg01
asinhasinhinnerv3	cdfquantreg01
asinhasinhinnerw2	cdfquantreg01
asinhasinhinnerw3	cdfquantreg01
asinhasinhouterv2	cdfquantreg01
asinhasinhouterv3	cdfquantreg01
asinhasinhouterw2	cdfquantreg01
asinhasinhouterw3	cdfquantreg01
asinhburr7	cdfquantreg
asinhburr8	cdfquantreg
asinhcauchy	cdfquantreg
asinhcauchyinnerv2	cdfquantreg01
asinhcauchyinnerv3	cdfquantreg01
asinhcauchyinnerw2	cdfquantreg01
asinhcauchyinnerw3	cdfquantreg01
asinhcauchyouterv2	cdfquantreg01
asinhcauchyouterv3	cdfquantreg01
asinhcauchyouterw2	cdfquantreg01
asinhcauchyouterw3	cdfquantreg01
asinhlogistic	cdfquantreg
asinht2	cdfquantreg
asl_norm	asl_norm
asl_norm_ex	asl_norm
asreg	asreg
asrol	asrol
assertky	assertky
astile	astile
astx	astx
asubini	subsim_1
asubini2	subsim_1
asubsim	subsim_1
atan2	circular
atspec	icalc
attregtest	attregtest
audit_cc	audit_cc
autofill	autofill
autofmt	autofmt
autolog	autolog
autorename	autorename
autosum	autosum
avar	avar
avar9	avar
avciplot	avciplot
avciplots	avciplot
avg_effect	avg_effect
avgper	itsp_ado
avplot2	avplot2
avplot3	avplot3
avplots2	avplot2
avplots4	avplots4
avplots4_7	avplots4
axis	egenmore
axisdigit	icalc
b	bacondecomp
b1x2	b1x2
b2evaluator	regmain
b2reg	regmain
ba	bacondecomp
babibplot	babibplot
bac	bacondecomp
backrasch	backrasch
backtest	mvport
baco	bacondecomp
bacon	bacondecomp
baconde	bacondecomp
bacondec	bacondecomp
bacondeco	bacondecomp
bacondecom	bacondecomp
bacondecomp	bacondecomp
badiag	baplot
baing	baing
balancetable	balancetable
bandplot	bandplot
baplot	baplot
barplot	barplot
barplot2	barplot2
barxlinedraw	icalc
baryhat	icalc
base	egenmore
basetable	basetable
basetable_example_data	basetable
basicstats	subsim_1
batcher	batcher
batplot	batplot
bayerhanck	bayerhanck
bayesmixedlogit	bayesmixedlogit
bayesmixedlogitwtp	bayesmixedlogitwtp
bayesmlogit	bayesmlogit
bcib	bcii
bcii	bcii
bcoeff	bcoeff
bcoeffs	bcoeffs
bcss	bcss
bcstats	bcstats
bctobit	bctobit
bcuse	bcuse
bdiff	bdiff
beamplot	beamplot
benford	benford
beta4	betafit
betacoef	betacoef
betafit	betafit
betafit_ex	betafit
betafit_lf	betafit
betafit_p	betafit
betaprior	betaprior
betareg_lf	betafit
betterbar	betterbar
betterbarci	betterbar
bfit	poparms
bfmcorr	bfmcorr
bgodfrey2	panelauto
bgshade	bgshade
bgtest	bgtest
bhatt	bhatt
biascon	biasepi
biasconi	biasepi
biasmis	biasepi
biasmisi	biasepi
biasselect	biasepi
biasselecti	biasepi
biassurvi	biasepi
biastab2	biasepi
bibrep	bibrep
bic	bic
bicdrop1	bicdrop1
bidensity	bidensity
bigtab	bigtab
bihist	bihist
bilgen	mmsel
bimap	bimap
bineq	bineq
bineqdiff	bineq
binolist	listutil
binscatter	binscatter
binscatterhist	binscatterhist
bioprobit	bioprobit
bioprobit_d2	bioprobit
bioprobit_p	bioprobit
biplot	biplot
biplot5	biplot
biplotvlab	biplotvlab
bipolar	bipolar
bipolate	bipolate
biprobit_fixedrho	fixedrho
biprobit_fixedrho_lf	fixedrho
birthsim	birthsim
bitobit	bitobit
bitobit_ll	bitobit
bivpoisson	bivpoisson
bking	bking
bking8	bking
bkrosenblatt	bkrosenblatt
blandaltman	blandaltman
blinding	blinding
blist	blist
block_and_cluster_ra	randomizr
block_ra	randomizr
blockdes	dcreate
blogit2	blogit2
blp	blp
bmi	bmi
bmii	bmi
bmjcip	bmjcip
bmp2dta	bmp2dta
bnormpdf	bnormpdf
boilerplate	mkproject
bollenstine	confa
bom	egenmore
bomd	egenmore
boost	boost
boost_predict	boost
boot_drf	ctreatreg
bootsamb	silvermtest
bootstrap_xtdcce2	xtdcce2
boottest	boottest
boottest_1	boottest
bothlist	listutil
boxcoxsim	ros
boxpanel	boxpanel
boxtid	boxtid
bpagan	bpagan
bpass	bpass
bpdifmed	bpmedian
bpmedian	bpmedian
brain	brain
brewcbsim	brewscheme
brewcolordb	brewscheme
brewcolors	brewscheme
brewdb	brewscheme
brewextra	brewscheme
brewlibcheck	brewscheme
brewmeta	brewscheme
brewproof	brewscheme
brewscheme	brewscheme
brewsearch	brewscheme
brewterpolate	brewscheme
brewtheme	brewscheme
brewtransform	brewscheme
brewviewer	brewscheme
brglm	brglm
brmunid	brmunid
bronch	bronch
bronchi	bronch
brr_hadamardmatrixfile	survwgt
bsens	bsens
bsopm	bsopm
bspline	bspline
bsrifhdreg	rif
buchinsky	mmsel
buckley	buckley
bugsdat	bugsdat
bugwrite	bugwrite
build_cond_expectation_1	fuzzydid
build_cond_expectation_2	fuzzydid
build_stpm2_mlib	stpm2
bumparea	bumparea
bumpline	bumpline
bunchbounds	bunching
bunchfilter	bunching
bunching	bunching
bunchtobit	bunching
bunchtobit_tloglike	bunching
bundle	bundle
burr7asinh	cdfquantreg
burr7burr7	cdfquantreg
burr7burr8	cdfquantreg
burr7cauchy	cdfquantreg
burr7logistic	cdfquantreg
burr7t2	cdfquantreg
burr8asinh	cdfquantreg
burr8burr7	cdfquantreg
burr8burr8	cdfquantreg
burr8cauchy	cdfquantreg
burr8logistic	cdfquantreg
burr8t2	cdfquantreg
butterworth	butterworth
bygap	bygap
byhist	byhist
bynote	bynote
bys	bys
bystore	bystore
byvar	byvar
c	fastcd
c_ml_stata_cv	c_ml_stata_cv
c_ml_stata_default	c_ml_stata_cv
cal	cal
cal2spell	sadi
calc4persuasio	persuasio
calibest	calibest
calibrate	calibrate
calinski	calinski
calipmatch	calipmatch
callCcode	ggt
calldiagram	diagram
callsado	callsado
callst	lowyseattlea
canon	canon
capass	capass
caplog	logout
care	care
carryforward	carryforward
cart	cart
carts	cart
casefat	casefat
catenate	catenate
caterpillar	caterpillar
catgraph	catgraph
catplot	catplot
catplot_old	catplot
cauchitasinh	cdfquantreg
cauchitasinhinnerv2	cdfquantreg01
cauchitasinhinnerv3	cdfquantreg01
cauchitasinhinnerw2	cdfquantreg01
cauchitasinhinnerw3	cdfquantreg01
cauchitasinhouterv2	cdfquantreg01
cauchitasinhouterv3	cdfquantreg01
cauchitasinhouterw2	cdfquantreg01
cauchitasinhouterw3	cdfquantreg01
cauchitburr7	cdfquantreg
cauchitburr8	cdfquantreg
cauchitcauchy	cdfquantreg
cauchitcauchyinnerv2	cdfquantreg01
cauchitcauchyinnerv3	cdfquantreg01
cauchitcauchyinnerw2	cdfquantreg01
cauchitcauchyinnerw3	cdfquantreg01
cauchitcauchyouterv2	cdfquantreg01
cauchitcauchyouterv3	cdfquantreg01
cauchitcauchyouterw2	cdfquantreg01
cauchitcauchyouterw3	cdfquantreg01
cauchitlogistic	cdfquantreg
cauchitt2	cdfquantreg
causaldata	causaldata
cb2html	cb2html
cbacktest	mvport
cbarplot	cbarplot
cbplot	icalc
ccmatch	ccmatch
ccmpre	ccmpre
cctable	cctable
ccweight	ccweight
cddens	cddens
cdecompose	cdecompose
cdfplot	cdfplot
cdfquantreg	cdfquantreg
cdfquantreg01	cdfquantreg01
cdfquantreg01_mf	cdfquantreg01
cdfquantreg01_p	cdfquantreg01
cdfquantreg_m	cdfquantreg
cdfquantreg_p	cdfquantreg
cdist	cdist
cdl	lowyseattlea
cdo	cdo
cdout	cdout
cdreg	cdreg
cedesign	cedesign
cem	cem
cemimix	cemimix
cendif	somersd
cenegbinll	censornb
cenpois	cenpois
censlope	somersd
censornb	censornb
censusapi	censusapi
centcalc	centcalc
center	center
centervars	itsp_ado
centpow	centpow
centroid	centroid
cepois	cepois
cepois_ll	cepois
ceq	ceq
ceq_parse_using	ceq
ceqassump	ceq
ceqconc	ceq
ceqcov	ceq
ceqcoverage	ceq
ceqdes	ceq
ceqdientropy	ceq
ceqdifgt	ceq
ceqdigini	ceq
ceqdinineq	ceq
ceqdom	ceq
ceqdomext	ceq
ceqeduc	ceq
ceqef	ceq
ceqefext	ceq
ceqextend	ceq
ceqextpop	ceq
ceqextsig	ceq
ceqfi	ceq
ceqfiscal	ceq
ceqgraph	ceq
ceqgraph_cdf	ceq
ceqgraph_conc	ceq
ceqgraph_fi	ceq
ceqgraph_progressivity	ceq
ceqhhchar	ceq
ceqindchar	ceq
ceqinfra	ceq
ceqiop	ceq
ceqlorenz	ceq
ceqmarg	ceq
ceqpop	ceq
ceqppp	ceq
ceqrace	ceq
ceqstatsig	ceq
ceqtarget	ceq
cext	mmsel
cf2	cf2
cf3	cf3
cf_exp	wtd
cfby	cfby
cfitzrw	cfitzrw
cflpois	cflpois
cfout	cfout
cfvars	cfvars
cgmwildboot	clustse
cgroup	cgroup
cgssm	cgssm
cgssmi	cgssm
chaid	chaid
chaidforest	chaidforest
chaidforest_estat	chaidforest
chaidforest_pr	chaidforest
change	cart
changemean	changemean
chaos	chaos
charcopy	charutil
chardef	chardef
chardel	charutil
charlist	charlist
charlson	charlson
charon	charon
chartab	chartab
chartab_run	chartab
chartabb	chartab
charto6	charutil
charundef	chardef
chatgpt	chatgpt
check7z	gziputil
checkax	rpaxioms
checkfor2	checkfor2
checkipaddresses	checkipaddresses
checkreg3	checkreg3
checkrob	checkrob
checkvar	checkvar
chesspos	chesspos
chesspuzzle	chesspuzzle
chewfile	chewfile
child	dag
childc	dag
chimchar	chimchar
chinaaddress	chinagcode
chinafin	chinafin
chinagcode	chinagcode
chiplot	chiplot
chitest	tab_chi
chitest6	tab_chi
chitesti	tab_chi
chitesti6	tab_chi
chlist	lowyseattleb
chm	chm
choi_lr_hyperg_prob	choi_lr_test
choi_lr_hypergeom	choi_lr_test
choi_lr_support_interval	choi_lr_test
choi_lr_support_interval_big_or	choi_lr_test
choi_lr_support_interval_or_eq_0	choi_lr_test
choi_lr_test	choi_lr_test
choi_lr_testi	choi_lr_test
choplist	listutil
chowgmmstar3	gcrobustvar
chowreg	chowreg
chowtest	chowtest
chunky	chunky
chunky8	chunky8
ci2	ci2
ci_fixed	singlearm
ci_gs	singlearm
ci_marg_mu	ci_marg_mu
cibar	cibar
cibplot	cibplot
cic	cic
cid	cid
ciform	ciform
cifunction	cifunction
cifunction_ex	cifunction
cihplot	cihplot
cii2	ci2
cij	cij
ciji	cij
ciplot	ciplot
cipolate	cipolate
circbw	circularkde
circcentre	circular
circcorr	circular
circdiff	circular
circdplot	circular
circdpvm	circular
circgph	circularkde
circhist	circular
circhistogram	circular
circkde	circularkde
circkden	circularkde
circkdensity	circular
circlccorr	circular
circlebar	circlebar
circlepack	circlepack
circmedian	circular
circovmean	circular
circovstr	circular
circpvm	circular
circqqplot	circular
circqvm	circular
circrao	circular
circrplot	circular
circsc	circular
circscatter	circular
circsu	circular
circsummarize	circular
circtwosample	circular
circvm	circular
circvplot	circular
circwarp	circularkde
circwwmardia	circular
circxlowess	circular
circylowess	circular
cirkdevm	circularkde
cisd	cisd
cisd1	cisd
cistat	cistat
civplot	civplot
ciw	ciw
ciwi	ciw
ciwidth_cmd_proportions_mc	ciwidth_proportions_mc
ciwidth_cmd_proportions_mc_init	ciwidth_proportions_mc
ckcodebook	ckvar
ckdrop	ckvar
ckkeep	ckvar
ckrename	ckvar
ckvar	ckvar
ckvarclear	ckvar
ckvardo	ckvar
ckvaredit	ckvar
ckvareditsave	ckvar
ckvarupdate	ckvar
clan	clan
classplot	classplot
classtab	classtab
classtabi	classtabi
clchi2	cltest
